County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
Tallapoosa County Alabama,ALABAMA,18.06%,24%,13.83%,30.5%
Talladega County Alabama,ALABAMA,17.83%,23.5%,13.68%,26.5%
Wilcox County Alabama,ALABAMA,17.35%,23.57%,13.37%,39.4%
Washington County Alabama,ALABAMA,17.35%,23.57%,13.37%,30.8%
Sumter County Alabama,ALABAMA,18.08%,25.26%,13.9%,36.2%
Winston County Alabama,ALABAMA,18.05%,23.13%,13.79%,16.3%
Walker County Alabama,ALABAMA,18.55%,24.04%,14.31%,35.7%
Aleutians East Borough Alaska,ALASKA,23.61%,28.84%,17.04%,67.2%
Shelby County Alabama,ALABAMA,14.22%,18.09%,10.56%,26.6%
Aleutians West Census Area Alaska,ALASKA,23.61%,28.84%,17.04%,47.5%
Tuscaloosa County Alabama,ALABAMA,16%,21.97%,12.05%,32.8%
Bethel Census Area Alaska,ALASKA,23.61%,28.84%,17.04%,68.9%
Forsyth County Georgia,GEORGIA,10.49%,14.35%,6.51%,18.3%
Glynn County Georgia,GEORGIA,15.36%,22.37%,9.64%,43%
Habersham County Georgia,GEORGIA,16.56%,23.58%,10.61%,12.7%
Harris County Georgia,GEORGIA,15.56%,23.29%,9.91%,16.1%
Franklin County Georgia,GEORGIA,16.56%,23.58%,10.61%,7.3%
Gordon County Georgia,GEORGIA,16.88%,23.87%,10.8%,8%
Gwinnett County Georgia,GEORGIA,11.78%,17.58%,7.24%,25.8%
Haralson County Georgia,GEORGIA,16.49%,23.81%,10.45%,9.2%
Fulton County Georgia,GEORGIA,10.85%,16.51%,6.6%,25.2%
Hancock County Georgia,GEORGIA,16.23%,24.62%,10.43%,4.8%
Grady County Georgia,GEORGIA,17.84%,26.45%,11.48%,8.7%
Gilmer County Georgia,GEORGIA,16.88%,23.87%,10.8%,8%
Hall County Georgia,GEORGIA,14.88%,21.16%,9.43%,24.8%
Worth County Georgia,GEORGIA,16.24%,23.74%,10.34%,9.8%
Walker County Georgia,GEORGIA,16.94%,24.14%,10.79%,17%
Wayne County Georgia,GEORGIA,18.64%,26.92%,12.19%,27.2%
Walton County Georgia,GEORGIA,15.88%,22.45%,10.06%,18.4%
Hawaii County Hawaii,HAWAII,6.38%,10.31%,3.34%,
Washington County Georgia,GEORGIA,16.23%,24.62%,10.43%,7.8%
Whitfield County Georgia,GEORGIA,15.27%,22.12%,9.56%,15.7%
White County Georgia,GEORGIA,14.69%,20.76%,9.34%,5.4%
Wilcox County Georgia,GEORGIA,17.28%,25.41%,11.17%,6.5%
Honolulu County Hawaii,HAWAII,5.07%,8.48%,2.75%,
Warren County Georgia,GEORGIA,16.23%,24.62%,10.43%,8.8%
