Date,MMWR_week,Location,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Additional_Doses,Additional_Doses_Vax_Pct
10/30/2021,43,TX,17794025,61.4,15467426,53.3,1448444,9.4
10/30/2021,43,NJ,6662856,75,5892769,66.3,526010,8.9
12/27/2020,53,PA,0,0,0,0,,0
12/27/2020,53,AK,0,0,0,0,,0
12/16/2020,51,WI,0,0,0,0,,0
12/27/2020,53,IN,0,0,0,0,,0
10/30/2021,43,LA,2502587,53.8,2215113,47.6,229684,10.4
12/27/2020,53,WA,0,0,0,0,,0
12/27/2020,53,WY,0,0,0,0,,0
12/27/2020,53,VA,0,0,0,0,,0
12/27/2020,53,OH,0,0,0,0,,0
10/30/2021,43,AL,2672040,54.5,2194074,44.7,211878,9.7
10/30/2021,43,SD,548914,62,465482,52.6,50015,10.7
10/30/2021,43,MP,36406,64,34845,61.3,2377,6.8
12/27/2020,53,MA,0,0,0,0,,0
12/27/2020,53,MI,0,0,0,0,,0
10/30/2021,43,NE,1179622,61,1087752,56.2,123182,11.3
12/27/2020,53,HI,0,0,0,0,,0
12/27/2020,53,DE,0,0,0,0,,0
12/27/2020,53,VT,0,0,0,0,,0
12/27/2020,53,UT,0,0,0,0,,0
12/27/2020,53,ND,0,0,0,0,,0
12/27/2020,53,CA,0,0,0,0,,0
12/27/2020,53,NM,0,0,0,0,,0
12/27/2020,53,ME,0,0,0,0,,0
10/30/2021,43,FL,14829957,69,12817639,59.7,1238239,9.7
12/27/2020,53,US,0,0,0,0,,0
12/27/2020,53,ID,0,0,0,0,,0
12/27/2020,53,MO,0,0,0,0,,0
12/27/2020,53,AR,0,0,0,0,,0
12/27/2020,53,MT,0,0,0,0,,0
12/27/2020,53,CO,0,0,0,0,,0
12/27/2020,53,GA,0,0,0,0,,0
12/26/2020,52,GA,0,0,0,0,,0
12/26/2020,52,DC,0,0,0,0,,0
12/26/2020,52,ND,0,0,0,0,,0
12/26/2020,52,LTC,0,0,0,0,,0
12/26/2020,52,ME,0,0,0,0,,0
12/26/2020,52,UT,0,0,0,0,,0
12/26/2020,52,IA,0,0,0,0,,0
12/26/2020,52,US,0,0,0,0,,0
12/26/2020,52,CO,0,0,0,0,,0
10/30/2021,43,HI,1114978,78.7,846075,59.8,72532,8.6
12/26/2020,52,KY,0,0,0,0,,0
10/30/2021,43,NM,1511520,72.1,1301847,62.1,160997,12.4
12/26/2020,52,HI,0,0,0,0,,0
10/30/2021,43,IL,8294625,65.5,7642317,60.3,746577,9.8
10/30/2021,43,PA,9961778,77.8,7746462,60.5,467947,6
12/26/2020,52,CT,0,0,0,0,,0
10/30/2021,43,TN,3723870,54.5,3254481,47.7,399343,12.3
12/16/2020,51,GU,0,0,0,0,,0
12/26/2020,52,WA,0,0,0,0,,0
12/26/2020,52,MP,0,0,0,0,,0
10/30/2021,43,DC,525432,74.5,440542,62.4,30961,7
12/26/2020,52,TX,0,0,0,0,,0
12/26/2020,52,MH,0,0,0,0,,0
12/16/2020,51,ME,0,0,0,0,,0
12/26/2020,52,MD,0,0,0,0,,0
12/26/2020,52,DD2,0,0,0,0,,0
12/16/2020,51,WY,0,0,0,0,,0
12/26/2020,52,IL,0,0,0,0,,0
12/26/2020,52,NV,0,0,0,0,,0
12/26/2020,52,AL,0,0,0,0,,0
10/30/2021,43,KS,1819477,62.5,1548933,53.2,146304,9.4
10/30/2021,43,IH2,929358,44.6,770718,37,55170,7.2
5/10/2023,19,NE,1425923,73.7,1286860,66.5,718168,55.8
10/30/2021,43,WV,877316,49,735285,41,44598,6.1
10/30/2021,43,UT,1959857,61.1,1717730,53.6,121646,7.1
10/30/2021,43,OR,2883495,68.4,2649886,62.8,285297,10.8
10/30/2021,43,IN,3614990,53.7,3353683,49.8,351067,10.5
10/30/2021,43,ME,1029951,76.6,948372,70.6,102035,10.8
5/10/2023,19,LA,2924163,62.9,2561641,55.1,1110217,43.3
10/30/2021,43,AS,35238,63.3,30977,55.6,143,0.5
12/26/2020,52,KS,0,0,0,0,,0
10/30/2021,43,RI,827389,78.1,750690,70.9,75439,10
10/30/2021,43,MH,24116,41.3,20292,34.7,105,0.5
10/30/2021,43,MS,1548479,52,1359342,45.7,121552,8.9
12/26/2020,52,NJ,0,0,0,0,,0
12/26/2020,52,NH,0,0,0,0,,0
10/30/2021,43,KY,2565388,57.4,2261057,50.6,250946,11.1
10/30/2021,43,PR,2621628,82.1,2347657,73.5,161004,6.9
12/26/2020,52,VT,0,0,0,0,,0
10/30/2021,43,NY,14441832,74.2,12960521,66.6,718189,5.5
10/30/2021,43,GU,132072,79.7,120972,73,9536,7.9
10/30/2021,43,NV,1949931,63.3,1629868,52.9,131320,8.1
12/26/2020,52,VA,0,0,0,0,,0
12/26/2020,52,BP2,0,0,0,0,,0
10/30/2021,43,WY,294093,50.8,253968,43.9,30348,11.9
12/26/2020,52,GU,0,0,0,0,,0
10/30/2021,43,DE,670177,68.8,581483,59.7,50846,8.7
10/30/2021,43,MA,5523036,80.1,4798860,69.6,426386,8.9
12/26/2020,52,NC,0,0,0,0,,0
10/30/2021,43,AK,434722,59.4,385083,52.6,53629,13.9
10/30/2021,43,BP2,127285,0,120988,0,3468,2.9
12/26/2020,52,OK,0,0,0,0,,0
12/26/2020,52,LA,0,0,0,0,,0
10/30/2021,43,IA,1881208,59.6,1752463,55.5,216874,12.4
12/26/2020,52,AZ,0,0,0,0,,0
10/30/2021,43,ID,876182,49,783543,43.8,100558,12.8
12/26/2020,52,MO,0,0,0,0,,0
10/29/2021,43,NJ,6653171,74.9,5887103,66.3,498280,8.5
12/26/2020,52,IN,0,0,0,0,,0
10/29/2021,43,DE,669987,68.8,581433,59.7,50724,8.7
12/26/2020,52,OH,0,0,0,0,,0
12/26/2020,52,AS,0,0,0,0,,0
12/26/2020,52,AK,0,0,0,0,,0
12/26/2020,52,MS,0,0,0,0,,0
12/26/2020,52,SD,0,0,0,0,,0
10/29/2021,43,OH,6513172,55.7,6052062,51.8,599267,9.9
5/10/2023,19,GA,7287758,68.6,6103647,57.5,2705136,44.3
12/26/2020,52,OR,0,0,0,0,,0
12/26/2020,52,PA,0,0,0,0,,0
12/26/2020,52,NE,0,0,0,0,,0
10/29/2021,43,KS,1815656,62.3,1546926,53.1,136890,8.8
5/10/2023,19,WY,353727,61.1,307619,53.2,145600,47.3
10/29/2021,43,DD2,3376032,0,2631464,0,552,0
10/29/2021,43,MA,5515009,80,4795313,69.6,404939,8.4
10/29/2021,43,MO,3480294,56.7,3048768,49.7,299772,9.8
5/10/2023,19,CO,4837792,84,4248431,73.8,2460212,57.9
10/29/2021,43,PA,9921738,77.5,7735275,60.4,440144,5.7
10/29/2021,43,VA,6054713,70.9,5373361,63,500719,9.3
10/29/2021,43,OR,2880464,68.3,2647474,62.8,267143,10.1
10/29/2021,43,FL,14813872,69,12804444,59.6,1180569,9.2
10/29/2021,43,CA,29391667,74.4,24159427,61.1,1949399,8.1
5/10/2023,19,PA,11666613,91.1,9444480,73.8,4493396,47.6
10/29/2021,43,UT,1951698,60.9,1707724,53.3,105867,6.2
10/29/2021,43,SD,547250,61.9,464752,52.5,46521,10
10/29/2021,43,AR,1747234,57.9,1445566,47.9,138665,9.6
10/29/2021,43,RI,825573,77.9,749548,70.8,70864,9.5
5/10/2023,19,DE,861811,88.5,715787,73.5,369899,51.7
10/29/2021,43,GU,132071,79.7,120971,73,9536,7.9
10/29/2021,43,LA,2499312,53.8,2211703,47.6,217064,9.8
12/26/2020,52,CA,0,0,0,0,,0
5/10/2023,19,OR,3459096,82,3065513,72.7,1812982,59.1
10/29/2021,43,NE,1178357,60.9,1086941,56.2,116959,10.8
10/29/2021,43,NH,1029228,75.7,853808,62.8,13075,1.5
10/29/2021,43,AS,35230,63.3,30937,55.6,62,0.2
10/29/2021,43,AL,2668028,54.4,2190701,44.7,199742,9.1
10/29/2021,43,TX,17779454,61.3,15452632,53.3,1383357,9
5/10/2023,19,WI,4386970,75.3,3981606,68.4,2432044,61.1
5/10/2023,19,ND,530640,69.6,448757,58.9,219540,48.9
10/29/2021,43,CT,2811535,78.9,2517628,70.6,230946,9.2
10/29/2021,43,FM,45917,44.3,40322,38.9,52,0.1
5/10/2023,19,TX,22322586,77,18406327,63.5,7493737,40.7
10/29/2021,43,MP,36332,63.9,34801,61.2,2175,6.2
12/26/2020,52,FM,0,0,0,0,,0
12/26/2020,52,VA2,0,0,0,0,,0
10/29/2021,43,IH2,927705,44.5,769805,37,51547,6.7
10/29/2021,43,AK,434005,59.3,384597,52.6,50340,13.1
10/29/2021,43,MI,5805594,58.1,5337811,53.4,617619,11.6
10/29/2021,43,RP,17945,99.9,15680,87.6,567,3.6
10/29/2021,43,GA,6020924,56.7,5092396,48,352331,6.9
5/10/2023,19,MN,4461994,79.1,4082263,72.4,2595884,63.6
5/10/2023,19,UT,2421459,75.5,2146291,66.9,1077025,50.2
10/29/2021,43,TN,3719509,54.5,3250701,47.6,380144,11.7
12/26/2020,52,AR,0,0,0,0,,0
10/29/2021,43,MS,1548141,52,1359195,45.7,121345,8.9
5/10/2023,19,SC,3666079,71.2,3091956,60.1,1389701,44.9
12/26/2020,52,MT,0,0,0,0,,0
12/26/2020,52,RI,0,0,0,0,,0
10/29/2021,43,IA,1878655,59.5,1750790,55.5,200670,11.5
12/26/2020,52,PR,0,0,0,0,,0
10/29/2021,43,IL,8278500,65.3,7630347,60.2,697102,9.1
10/29/2021,43,NC,6712174,64,5510722,52.5,330838,6
5/10/2023,19,DC,836680,95,644085,91.3,330888,51.4
10/29/2021,43,VI,55824,53.3,49000,46.8,2736,5.6
10/29/2021,43,WY,293892,50.8,253866,43.9,30245,11.9
10/29/2021,43,NV,1946903,63.2,1627621,52.8,124009,7.6
10/29/2021,43,BP2,127250,0,120925,0,3299,2.7
10/29/2021,43,ID,874700,48.9,782367,43.8,95043,12.1
5/10/2023,19,NC,9456334,90.2,7018862,66.9,2414034,34.4
10/29/2021,43,WI,3643285,62.6,3389053,58.2,398972,11.8
5/10/2023,19,WA,6517326,85.6,5814062,76.4,3414996,58.7
5/10/2023,19,SD,746118,84.3,588257,66.5,276231,47
10/29/2021,43,ND,404866,53.1,349103,45.8,38015,10.9
10/29/2021,43,VA2,3083645,0,2859502,0,262594,9.2
10/29/2021,43,CO,3888215,67.5,3541185,61.5,400177,11.3
10/29/2021,43,MD,4404014,72.8,3993151,66,360884,9
10/29/2021,43,NY,14415659,74.1,12942958,66.5,679792,5.3
10/29/2021,43,MH,23753,40.7,20218,34.6,10,0
12/26/2020,52,WV,0,0,0,0,,0
12/26/2020,52,MN,0,0,0,0,,0
10/29/2021,43,WV,876868,48.9,735083,41,43945,6
10/29/2021,43,NM,1509685,72,1300930,62,155350,11.9
10/29/2021,43,HI,1112654,78.6,844839,59.7,67443,8
10/29/2021,43,SC,2957277,57.4,2567410,49.9,276650,10.8
5/10/2023,19,PR,2905470,91,2688410,84.2,1808780,67.3
10/29/2021,43,KY,2561769,57.3,2258211,50.5,237146,10.5
10/29/2021,43,WA,5276838,69.3,4829110,63.4,462777,9.6
10/29/2021,43,IN,3610958,53.6,3350866,49.8,329616,9.8
10/29/2021,43,DC,524360,74.3,440105,62.4,29350,6.7
10/29/2021,43,OK,2346477,59.3,1974847,49.9,197661,10
10/29/2021,43,PR,2618738,82,2345719,73.4,151400,6.5
10/29/2021,43,MT,606948,56.8,538637,50.4,68887,12.8
12/26/2020,52,WY,0,0,0,0,,0
10/29/2021,43,VT,496190,79.5,443715,71.1,55186,12.4
5/10/2023,19,RI,1126779,95,932541,88,545736,58.5
10/29/2021,43,AZ,4448736,61.1,3856438,53,331037,8.6
10/29/2021,43,MN,3669098,65.1,3370390,59.8,406942,12.1
10/29/2021,43,US,220860887,66.5,191997869,57.8,16682269,8.7
5/10/2023,19,IA,2235485,70.9,2036465,64.5,1173926,57.6
5/10/2023,19,FM,86204,84.2,73692,72,42030,57
5/10/2023,19,PW,20801,95,18557,86.2,12556,67.7
5/10/2023,19,NV,2400362,77.9,1966594,63.8,864281,43.9
