State,avg_hesitant,max_vax_rate
MT,25.1385714667184,68.4000015258789
WY,21.77608697310738,61.099998474121094
AK,21.738620889597925,73.19999694824219
AR,21.212266998291014,70.0999984741211
KY,19.584916464487712,69.0999984741211
OK,19.404545499132826,74.9000015258789
ID,19.202272631905295,64.0999984741211
LA,18.971874862909317,62.900001525878906
MS,18.253170571676115,61.79999923706055
AL,17.350746225954882,65.0999984741211
GA,16.181509293850112,68.5999984741211
AZ,15.923999786376953,78.4000015258789
WI,15.294444481531778,75.30000305175781
KS,15.164761924743653,76.5
MO,15.022782508186673,69.5999984741211
OH,14.565681858496232,65.9000015258789
FL,14.521194045223407,82.9000015258789
SC,14.328695711882219,71.19999694824219
TN,13.838841980382016,64.5999984741211
ND,13.6520754436277,69.5999984741211
NC,13.591300010681152,92.5999984741211
NV,13.242352653952207,78.30000305175781
IN,13.146521692690643,64.5999984741211
IA,12.626464689620818,70.9000015258789
TX,11.981102357699177,77
PA,11.885671672536366,91.0999984741211
UT,11.724482667857203,75.5
OR,11.268888844384087,82
SD,11.257424267855557,84.30000305175781
NH,10.353999805450439,95
WV,10.145272844487971,89.69999694824219
MI,9.963132542299936,69.9000015258789
IL,9.608529455521527,79.19999694824219
ME,9.565624952316284,95
NE,8.678817067095029,73.69999694824219
NM,7.822424339525627,94.9000015258789
CO,7.82203122228384,84
WA,7.791281993572529,85.5999984741211
MN,7.788620751479576,79.0999984741211
MD,7.601666669050853,92.0999984741211
CA,7.2274137694260165,86.30000305175781
NY,7.178548420629194,94.69999694824219
RI,6.6420001029968265,95
VA,6.311052664778287,91.30000305175781
HI,5.95,91.80000305175781
DE,5.9433333079020185,88.5
CT,5.698749899864197,95
NJ,4.9695238045283725,94.9000015258789
MA,4.62785712310246,95
VT,4.0264285291944235,95
