Date,Location,Administered_Dose1_Pop_Pct
2020-12-13,AS,0
2020-12-13,GU,0
2020-12-13,LT,0
2020-12-13,MP,0
2020-12-13,US,0
2020-12-13,VI,0
2020-12-14,AK,0
2020-12-14,AL,0
2020-12-14,AR,0
2020-12-14,AS,0
2020-12-14,AZ,0
2020-12-14,CA,0
2020-12-14,CO,0
2020-12-14,CT,0
2020-12-14,DC,0
2020-12-14,DD,0
2020-12-14,DE,0
2020-12-14,FL,0
2020-12-14,GA,0
2020-12-14,GU,0
2020-12-14,HI,0
2020-12-14,IA,0
2020-12-14,ID,0
2020-12-14,IH,0
2020-12-14,IL,0
2020-12-14,IN,0
2020-12-14,KS,0
2020-12-14,KY,0
2020-12-14,LA,0
2020-12-14,LT,0
2020-12-14,MA,0
2020-12-14,MD,0
2020-12-14,ME,0
2020-12-14,MI,0
2020-12-14,MN,0
2020-12-14,MO,0
2020-12-14,MP,0
2020-12-14,MS,0
2020-12-14,MT,0
2020-12-14,NC,0
2020-12-14,ND,0
2020-12-14,NE,0
2020-12-14,NH,0
2020-12-14,NJ,0
2020-12-14,NM,0
2020-12-14,NV,0
2020-12-14,NY,0
2020-12-14,OH,0
2020-12-14,OK,0
2020-12-14,OR,0
2020-12-14,PA,0
2020-12-14,PR,0
2020-12-14,RI,0
2020-12-14,SC,0
2020-12-14,SD,0
2020-12-14,TN,0
2020-12-14,TX,0
2020-12-14,US,0
2020-12-14,UT,0
2020-12-14,VI,0
2020-12-14,VT,0
2020-12-14,WA,0
2020-12-14,WI,0
2020-12-14,WV,0
2020-12-14,WY,0
2020-12-15,AK,0
2020-12-15,AL,0
2020-12-15,AR,0
2020-12-15,AS,0
2020-12-15,AZ,0
2020-12-15,CA,0
2020-12-15,CO,0
2020-12-15,CT,0
2020-12-15,DC,0
2020-12-15,DD,0
2020-12-15,DE,0
2020-12-15,FL,0
2020-12-15,GA,0
2020-12-15,GU,0
2020-12-15,HI,0
2020-12-15,IA,0
2020-12-15,ID,0
2020-12-15,IH,0
2020-12-15,IL,0
2020-12-15,IN,0
2020-12-15,KS,0
2020-12-15,KY,0
2020-12-15,LA,0
2020-12-15,LT,0
2020-12-15,MA,0
2020-12-15,MD,0
2020-12-15,ME,0
2020-12-15,MI,0
2020-12-15,MN,0
2020-12-15,MO,0
2020-12-15,MP,0
2020-12-15,MS,0
2020-12-15,MT,0
2020-12-15,NC,0
2020-12-15,ND,0
2020-12-15,NE,0
2020-12-15,NH,0
2020-12-15,NJ,0
2020-12-15,NM,0
