state,vax_rate_at_cutoff,percent_population_dead_after_cutoff
VT,73.9000015258789,0.0015
MA,70.4000015258789,0.0024
HI,69.80000305175781,0.0010
CT,67,0.0022
ME,66.30000305175781,0.0017
RI,64.5999984741211,0.0026
NH,64.5999984741211,0.0016
NJ,64.4000015258789,0.0008
NM,62.900001525878906,0.0003
PA,62.70000076293945,0.0010
MD,61.900001525878906,0.0005
CA,61.400001525878906,0.0006
WA,61.20000076293945,0.0016
NY,60,0.0025
IL,59.400001525878906,0.0009
VA,59.099998474121094,0.0041
OR,58.5,0.0008
DE,58.099998474121094,0.0000
CO,57.900001525878906,0.0003
MN,57,0.0003
WI,53.599998474121094,0.0020
FL,53.599998474121094,0.0010
NE,51.70000076293945,0.0000
MI,51.400001525878906,0.0009
IA,51.400001525878906,0.0026
SD,50.5,0.0013
NV,49.70000076293945,0.0024
AZ,49.599998474121094,0.0001
KY,49.5,0.0016
KS,49.099998474121094,0.0007
AK,49,0.0045
UT,48.70000076293945,0.0010
NC,48.599998474121094,0.0003
OH,48.20000076293945,0.0000
TX,48.20000076293945,0.0003
MT,47.70000076293945,0.0017
MO,44.900001525878906,0.0012
OK,44.79999923706055,0.0000
IN,44.599998474121094,0.0004
SC,44.29999923706055,0.0006
ND,43.79999923706055,0.0062
WV,43.599998474121094,0.0015
GA,43.29999923706055,0.0002
AR,41.79999923706055,0.0005
TN,41.70000076293945,0.0071
AL,39.900001525878906,0.0008
ID,39.5,0.0009
WY,39.20000076293945,0.0026
LA,38.099998474121094,0.0006
MS,36.20000076293945,0.0004
